"Date","Price","Open","High","Low","Vol.","Change %"
"05/07/2024","31.067","31.525","32.130","30.550","74.29K","-2.31%"
"05/06/2024","31.801","30.450","32.210","30.005","37.40K","4.17%"
"05/03/2024","30.528","30.900","31.840","30.020","83.33K","-1.25%"
"05/02/2024","30.913","29.045","31.190","28.510","92.40K","7.60%"
"05/01/2024","28.730","29.250","29.550","28.455","48.57K","-1.33%"
"04/30/2024","29.118","28.000","29.540","27.900","75.03K","4.02%"
"04/29/2024","27.994","28.845","28.850","27.850","49.53K","-3.09%"
"04/26/2024","28.886","29.975","30.325","28.825","71.74K","-2.97%"
"04/25/2024","29.771","29.470","30.800","29.190","82.64K","2.59%"
"04/24/2024","29.018","28.505","29.425","28.050","66.69K","2.11%"
"04/23/2024","28.417","29.315","29.965","28.360","79.96K","-3.05%"
"04/22/2024","29.310","30.250","30.460","29.065","72.29K","-4.71%"
"04/19/2024","30.758","32.905","33.835","30.560","88.55K","-4.80%"
"04/18/2024","32.309","31.500","32.650","30.335","85.60K","3.26%"
"04/17/2024","31.289","33.245","33.950","31.110","96.83K","-5.58%"
"04/16/2024","33.139","31.450","33.745","31.400","107.90K","6.41%"
"04/15/2024","31.143","30.745","31.585","29.755","86.73K","1.34%"
"04/12/2024","30.732","29.375","30.995","28.875","95.05K","4.61%"
"04/11/2024","29.377","27.615","29.700","27.600","88.03K","8.40%"
"04/10/2024","27.100","27.025","28.000","26.810","75.86K","-0.92%"
"04/09/2024","27.351","27.745","28.620","27.165","88.90K","-2.00%"
"04/08/2024","27.908","26.450","28.500","26.060","85.32K","4.89%"
"04/05/2024","26.606","26.265","27.040","26.010","74.15K","1.53%"
"04/04/2024","26.206","25.785","26.580","25.480","80.27K","2.52%"
"04/03/2024","25.563","26.170","26.170","25.180","87.54K","-2.44%"
"04/02/2024","26.203","27.250","27.800","26.045","81.70K","-4.16%"
"03/28/2024","27.340","27.435","28.150","27.120","64.74K","-1.25%"
"03/27/2024","27.687","27.100","27.825","26.800","56.50K","2.05%"
"03/26/2024","27.132","28.000","28.250","26.960","85.78K","-4.76%"
"03/25/2024","28.489","27.525","29.085","27.525","90.68K","4.13%"
"03/22/2024","27.360","26.450","27.925","26.100","76.73K","2.57%"
"03/21/2024","26.675","27.300","27.500","26.285","76.89K","-3.85%"
"03/20/2024","27.742","28.780","28.900","27.260","108.11K","-3.89%"
"03/19/2024","28.866","29.010","29.745","27.750","115.82K","0.15%"
"03/18/2024","28.822","27.300","29.225","27.285","126.27K","6.65%"
"03/15/2024","27.026","26.400","27.325","25.975","100.68K","3.75%"
"03/14/2024","26.049","24.600","26.695","24.450","88.15K","4.60%"
"03/13/2024","24.903","24.805","25.475","24.555","69.30K","0.52%"
"03/12/2024","24.775","24.900","25.110","24.250","79.80K","-0.62%"
"03/11/2024","24.930","26.150","26.580","24.710","93.70K","-5.54%"
"03/08/2024","26.392","25.850","26.800","25.620","80.47K","1.54%"
"03/07/2024","25.992","26.260","26.970","25.735","83.53K","-2.18%"
"03/06/2024","26.572","27.450","28.610","26.120","108.09K","-3.26%"
"03/05/2024","27.468","26.835","28.725","26.505","115.91K","2.17%"
"03/04/2024","26.885","25.770","27.350","24.800","95.04K","4.17%"
"03/01/2024","25.809","25.480","25.970","24.970","79.23K","3.80%"
"02/29/2024","24.865","26.000","26.110","24.650","80.40K","-2.94%"
"02/28/2024","25.619","24.705","26.165","24.530","45.17K","5.03%"
"02/27/2024","24.392","24.050","24.800","23.170","75.53K","1.60%"
"02/26/2024","24.009","23.035","24.315","22.850","70.32K","4.69%"
"02/23/2024","22.934","22.860","23.505","22.315","73.81K","-1.12%"
"02/22/2024","23.193","23.865","24.150","22.715","64.96K","-3.27%"
"02/21/2024","23.977","23.950","24.325","23.500","53.60K","-0.79%"
"02/20/2024","24.168","23.625","24.580","23.295","76.73K","1.96%"
"02/19/2024","23.704","24.880","24.880","23.550","59.14K","-4.50%"
"02/16/2024","24.822","24.890","25.375","24.375","66.88K","-0.58%"
"02/15/2024","24.966","24.760","25.740","24.500","67.73K","0.44%"
"02/14/2024","24.857","25.185","25.450","24.530","69.52K","-2.28%"
"02/13/2024","25.436","25.745","26.520","25.245","59.50K","-1.14%"
"02/12/2024","25.729","26.450","26.450","25.625","69.38K","-5.12%"
"02/09/2024","27.117","27.240","27.455","26.600","66.55K","-2.50%"
"02/08/2024","27.812","28.000","28.550","27.620","56.74K","-1.33%"
"02/07/2024","28.186","28.000","28.930","27.860","53.05K","-1.47%"
"02/06/2024","28.607","28.550","29.200","27.600","64.06K","0.94%"
"02/05/2024","28.341","30.325","30.710","28.050","73.86K","-3.29%"
"02/02/2024","29.304","28.450","29.555","28.005","65.65K","1.08%"
"02/01/2024","28.991","29.955","30.890","28.770","64.90K","-4.11%"
"01/31/2024","30.235","29.695","31.220","29.100","72.17K","2.87%"
"01/30/2024","29.391","28.000","29.610","27.475","41.46K","4.32%"
"01/29/2024","28.174","28.430","29.150","27.850","54.86K","0.34%"
"01/26/2024","28.079","27.435","28.945","26.495","87.06K","1.06%"
"01/25/2024","27.784","28.695","29.415","27.435","74.75K","-3.96%"
"01/24/2024","28.929","27.250","29.170","27.000","80.06K","6.25%"
"01/23/2024","27.227","27.200","27.980","26.630","71.81K","-0.14%"
"01/22/2024","27.264","27.620","27.870","26.600","83.96K","-4.10%"
"01/19/2024","28.429","28.485","29.305","28.100","68.16K","1.92%"
"01/18/2024","27.893","27.800","28.730","27.490","61.50K","0.67%"
"01/17/2024","27.708","29.320","29.635","27.340","75.87K","-6.57%"
"01/16/2024","29.656","29.905","30.720","29.210","67.13K","-0.89%"
"01/15/2024","29.923","31.000","31.650","29.285","73.08K","-6.46%"
"01/12/2024","31.991","31.000","32.225","30.915","72.61K","3.81%"
"01/11/2024","30.817","30.600","31.190","30.100","53.30K","-0.40%"
"01/10/2024","30.942","31.250","31.580","30.185","65.85K","0.98%"
"01/09/2024","30.641","30.950","31.820","30.195","70.18K","-2.97%"
"01/08/2024","31.580","34.000","34.055","31.265","80.48K","-8.60%"
"01/05/2024","34.551","32.825","35.055","32.400","70.15K","3.42%"
"01/04/2024","33.410","33.505","34.500","32.090","74.79K","1.88%"
"01/03/2024","32.795","30.750","33.250","30.500","68.76K","7.27%"
"01/02/2024","30.572","33.000","33.600","30.025","53.30K","-5.50%"
"12/29/2023","32.350","33.395","34.400","31.600","39.62K","-2.28%"
"12/28/2023","33.105","34.840","34.905","32.705","46.60K","-6.78%"
"12/27/2023","35.513","35.015","37.350","35.005","50.20K","3.92%"
"12/22/2023","34.174","34.370","34.775","33.430","57.52K","-0.08%"
"12/21/2023","34.203","33.975","36.290","33.755","78.00K","2.03%"
"12/20/2023","33.521","33.005","34.670","32.790","62.06K","2.93%"
"12/19/2023","32.568","36.000","36.000","32.100","76.93K","-8.32%"
"12/18/2023","35.522","33.895","37.590","32.325","104.94K","7.03%"
"12/15/2023","33.189","34.395","34.760","32.880","66.90K","-4.77%"
"12/14/2023","34.850","36.500","36.695","34.520","69.50K","-2.69%"
"12/13/2023","35.812","34.500","36.310","34.050","68.10K","3.20%"
"12/12/2023","34.703","36.000","36.685","34.505","75.22K","-3.92%"
"12/11/2023","36.118","38.105","38.105","35.915","79.23K","-6.43%"
"12/08/2023","38.598","40.500","41.750","38.540","74.05K","-3.43%"
"12/07/2023","39.968","39.200","41.025","38.800","71.65K","1.67%"
"12/06/2023","39.313","38.165","39.825","37.750","70.84K","3.09%"
"12/05/2023","38.133","40.505","40.665","37.915","82.88K","-4.91%"
"12/04/2023","40.104","42.750","42.755","39.870","73.54K","-7.80%"
"12/01/2023","43.496","42.500","44.150","41.700","69.15K","3.34%"
"11/30/2023","42.091","40.465","43.050","40.200","63.61K","4.29%"
"11/29/2023","40.360","42.150","43.100","39.750","60.64K","-5.64%"
"11/28/2023","42.774","44.595","44.750","41.900","65.99K","-2.75%"
"11/27/2023","43.984","46.500","46.745","43.500","60.87K","-5.73%"
"11/24/2023","46.657","45.970","47.585","45.650","68.54K","-0.38%"
"11/23/2023","46.834","46.000","47.215","44.800","91.49K","4.97%"
"11/22/2023","44.616","44.550","45.500","43.250","73.02K","1.25%"
"11/21/2023","44.065","46.495","46.545","43.150","71.44K","-3.83%"
"11/20/2023","45.821","48.165","48.165","45.120","70.60K","1.68%"
"11/17/2023","45.064","46.200","46.850","44.745","55.78K","-1.71%"
"11/16/2023","45.849","47.200","47.880","45.420","65.58K","-2.53%"
"11/15/2023","47.037","47.985","49.400","46.235","75.54K","-1.20%"
"11/14/2023","47.608","47.500","48.010","45.995","72.74K","-0.55%"
"11/13/2023","47.873","46.000","48.225","44.500","69.90K","2.66%"
"11/10/2023","46.632","48.690","48.690","45.530","78.09K","-3.11%"
"11/09/2023","48.129","45.500","49.185","45.050","70.71K","5.14%"
"11/08/2023","45.777","46.800","46.800","44.820","67.46K","-0.61%"
"11/07/2023","46.057","44.750","47.100","44.570","77.48K","2.73%"
"11/06/2023","44.832","47.340","47.340","44.600","74.91K","-6.71%"
"11/03/2023","48.057","49.400","50.400","46.900","81.57K","-1.04%"
"11/02/2023","48.564","48.150","49.340","46.150","86.39K","1.69%"
"11/01/2023","47.757","46.800","48.955","46.115","81.61K","-0.52%"
"10/31/2023","48.006","52.000","52.500","47.255","87.07K","-5.03%"
"10/30/2023","50.547","52.300","54.300","49.400","49.50K","0.03%"
"10/27/2023","50.532","50.900","51.750","49.700","62.97K","-0.55%"
"10/26/2023","50.809","51.450","52.555","49.400","64.49K","1.77%"
"10/25/2023","49.924","49.000","51.200","48.650","77.32K","1.34%"
